Numero de iteraciones,Numero de capas,Neuronas por capa,Tasa de aprendizaje,Grado de Confianza,Minimo del error promedio en entrenamiento,Maximo del error promedio en entrenamiento,Falsos positivos entrenamiento,Falsos negativos en el entrenamiento,Minimo del error promedio en pruebas,Maximo del error promedio en pruebas,Falsos negativos en pruebas,Falsos positivos en pruebas
2000,1,[1],0.1,0.9,0.16564940448323304,0.23459034419014566,1,40,0.19315033821698316,0.22135448058258597,10,0
2000,1,[1],0.1,0.8,0.16564940448323304,0.23459034419014566,4,38,0.19315033821698316,0.22135448058258597,10,3
2000,1,[1],0.1,0.7,0.16564940448323304,0.23459034419014566,7,33,0.19315033821698316,0.22135448058258597,7,3
2000,1,[1],0.1,0.6,0.16564940448323304,0.23459034419014566,9,26,0.19315033821698316,0.22135448058258597,5,3
2000,1,[1],0.1,0.5,0.16564940448323304,0.23459034419014566,10,19,0.19315033821698316,0.22135448058258597,4,5
2000,1,[1],0.01,0.9,0.17046462727977368,0.24722892822406353,0,40,0.20268458092146388,0.24394468148007678,10,0
2000,1,[1],0.01,0.8,0.17046462727977368,0.24722892822406353,0,40,0.20268458092146388,0.24394468148007678,10,0
2000,1,[1],0.01,0.7,0.17046462727977368,0.24722892822406353,3,39,0.20268458092146388,0.24394468148007678,10,2
2000,1,[1],0.01,0.6,0.17046462727977368,0.24722892822406353,6,35,0.20268458092146388,0.24394468148007678,10,3
2000,1,[1],0.01,0.5,0.17046462727977368,0.24722892822406353,8,26,0.20268458092146388,0.24394468148007678,7,4
2000,1,[1],0.001,0.9,0.1811420692103679,0.2497003257423805,0,40,0.20268596358868107,0.2493267517588774,10,0
2000,1,[1],0.001,0.8,0.1811420692103679,0.2497003257423805,0,40,0.20268596358868107,0.2493267517588774,10,0
2000,1,[1],0.001,0.7,0.1811420692103679,0.2497003257423805,0,40,0.20268596358868107,0.2493267517588774,10,0
2000,1,[1],0.001,0.6,0.1811420692103679,0.2497003257423805,1,40,0.20268596358868107,0.2493267517588774,10,0
2000,1,[1],0.001,0.5,0.1811420692103679,0.2497003257423805,3,34,0.20268596358868107,0.2493267517588774,10,4
4000,1,[1],0.1,0.9,0.1653209846752282,0.23459034419014566,1,40,0.19315033821698316,0.22135448058258597,10,1
4000,1,[1],0.1,0.8,0.1653209846752282,0.23459034419014566,5,38,0.19315033821698316,0.22135448058258597,7,3
4000,1,[1],0.1,0.7,0.1653209846752282,0.23459034419014566,9,31,0.19315033821698316,0.22135448058258597,6,3
4000,1,[1],0.1,0.6,0.1653209846752282,0.23459034419014566,9,24,0.19315033821698316,0.22135448058258597,5,4
4000,1,[1],0.1,0.5,0.1653209846752282,0.23459034419014566,11,17,0.19315033821698316,0.22135448058258597,3,5
4000,1,[1],0.01,0.9,0.16786451073598624,0.24722892822406353,0,40,0.20224090266171815,0.24394468148007678,10,0
4000,1,[1],0.01,0.8,0.16786451073598624,0.24722892822406353,0,40,0.20224090266171815,0.24394468148007678,10,0
4000,1,[1],0.01,0.7,0.16786451073598624,0.24722892822406353,3,38,0.20224090266171815,0.24394468148007678,10,3
4000,1,[1],0.01,0.6,0.16786451073598624,0.24722892822406353,6,34,0.20224090266171815,0.24394468148007678,7,3
4000,1,[1],0.01,0.5,0.16786451073598624,0.24722892822406353,10,25,0.20224090266171815,0.24394468148007678,6,4
4000,1,[1],0.001,0.9,0.1773220261155131,0.2497003257423805,0,40,0.20268596358868107,0.2493267517588774,10,0
4000,1,[1],0.001,0.8,0.1773220261155131,0.2497003257423805,0,40,0.20268596358868107,0.2493267517588774,10,0
4000,1,[1],0.001,0.7,0.1773220261155131,0.2497003257423805,0,40,0.20268596358868107,0.2493267517588774,10,0
4000,1,[1],0.001,0.6,0.1773220261155131,0.2497003257423805,2,36,0.20268596358868107,0.2493267517588774,10,1
4000,1,[1],0.001,0.5,0.1773220261155131,0.2497003257423805,4,31,0.20268596358868107,0.2493267517588774,10,5
6000,1,[1],0.1,0.9,0.16526593291328268,0.23459034419014566,2,40,0.19315033821698316,0.22135448058258597,10,2
6000,1,[1],0.1,0.8,0.16526593291328268,0.23459034419014566,5,37,0.19315033821698316,0.22135448058258597,7,3
6000,1,[1],0.1,0.7,0.16526593291328268,0.23459034419014566,9,30,0.19315033821698316,0.22135448058258597,6,3
6000,1,[1],0.1,0.6,0.16526593291328268,0.23459034419014566,9,23,0.19315033821698316,0.22135448058258597,5,4
6000,1,[1],0.1,0.5,0.16526593291328268,0.23459034419014566,11,15,0.19315033821698316,0.22135448058258597,3,5
6000,1,[1],0.01,0.9,0.1664881792462584,0.24722892822406353,0,40,0.19848729779545876,0.24394468148007678,10,0
6000,1,[1],0.01,0.8,0.1664881792462584,0.24722892822406353,1,40,0.19848729779545876,0.24394468148007678,10,1
6000,1,[1],0.01,0.7,0.1664881792462584,0.24722892822406353,5,37,0.19848729779545876,0.24394468148007678,10,3
6000,1,[1],0.01,0.6,0.1664881792462584,0.24722892822406353,7,29,0.19848729779545876,0.24394468148007678,7,3
